Time (sec),gpsFix,extended_solution_status,solution_age_seconds,datetime,gpsFixType,gpsNumSV,gpsNumSV_L1,gpsNumSV_MF,latx_gps,lonx_gps,ecef_velocity_x,ecef_velocity_y,ecef_velocity_z,hdop,pdop,gpsAltitude,position_north_std,position_east_std,position_down_std,velocity_north_std,velocity_east_std,velocity_down_std,unix_time_s,Time deltas (sec),Data Frequency (Hz)
45.843944,True,2,0.0,1744856329,3,22,22,0,-27.510521,153.137457,0.032018,-0.006268,0.037609,0.685999,1.328999,62.370451,2.157026,1.9655,2.366766,0.051654,0.050667,0.058673,3327.212148,0.100171,9.982909
45.9445,True,2,0.0,1744856329,3,22,22,0,-27.51052,153.137457,0.021351,-0.024573,0.014836,0.685999,1.328999,62.318044,2.151567,1.960174,2.360761,0.051626,0.05065,0.058653,3327.312705,0.100557,9.944641
46.043583,True,2,0.0,1744856329,3,22,22,0,-27.51052,153.137457,-0.017812,0.010849,-0.010595,0.685999,1.328999,62.121324,2.150316,1.958026,2.358145,0.051603,0.050636,0.058637,3327.411787,0.099082,10.092639
46.143558,True,2,0.0,1744856329,3,22,22,0,-27.51052,153.137456,0.047191,-0.017201,0.042296,0.685999,1.328999,62.17562,2.147575,1.956169,2.356075,0.051581,0.050622,0.058621,3327.511763,0.099976,10.002433
46.243536,True,2,0.0,1744856329,3,22,22,0,-27.510521,153.137455,-0.012604,-0.006625,-0.014184,0.685999,1.328999,62.286138,2.145732,1.955038,2.354607,0.051559,0.050608,0.058605,3327.611741,0.099978,10.00218
46.343708,True,2,0.0,1744856329,3,22,22,0,-27.51052,153.137455,0.004732,-0.010291,-0.002484,0.685999,1.328999,62.259452,2.142077,1.951924,2.351611,0.051542,0.050597,0.058592,3327.711912,0.100171,9.982893
46.447254,True,2,0.0,1744856330,3,22,22,0,-27.51052,153.137455,-0.009844,0.00446,-0.004102,0.685999,1.328999,62.354825,2.141966,1.950193,2.35,0.051525,0.050587,0.05858,3327.815459,0.103547,9.657485
46.543654,True,2,0.0,1744856330,3,22,22,0,-27.510521,153.137456,-0.010937,-0.008318,-0.013937,0.685999,1.328999,62.447361,2.138573,1.947147,2.346452,0.051508,0.050576,0.058567,3327.911858,0.096399,10.373503
46.643545,True,2,0.0,1744856330,3,22,22,0,-27.51052,153.137456,0.026031,-0.005845,0.008857,0.685999,1.328999,62.479719,2.13733,1.945669,2.3442,0.051495,0.050567,0.058558,3328.011749,0.099891,10.010946
46.744237,True,2,0.0,1744856330,3,22,22,0,-27.51052,153.137457,-0.037261,0.016347,-0.021157,0.685999,1.328999,62.54982,2.136342,1.943429,2.342777,0.051482,0.05056,0.058549,3328.112441,0.100692,9.931266
